Timestamp,Amount,Price,Direction
1499619314,1.0,162500.0,sell
1499630422,8.4248069,168587.27,buy
1499630422,0.7051931,168986.81,buy
1499633196,1.86741438,165875.63,buy
1499633196,1.141750639,166622.6,buy
1499642621,2.03454508,165010.95,buy
1499642621,4.013842016,165124.38,buy
1499642903,1.8177,164020.75,buy
1499642922,3.748,164266.78,buy
1499643337,1.135,164019.99,buy
1499643804,0.304514525,164195.78,buy
1499644852,1.7651,164195.78,buy
1499644906,1.1455e-05,164195.78,buy
1499644906,4.198588545,165124.38,buy
1499645070,3.0,165258.46,buy
1499645309,3.092080177,165384.13,buy
1499647983,1.219363864,164019.95,buy
1499655530,1.0,164262.62,buy
1499659404,2.44053488,164262.62,buy
1499659404,3.73156396,164264.93,buy
1499659404,5.837648347,165260.96,buy
1499659404,3.080796071,165396.92,buy
1499659411,0.677877164,165396.92,buy
1499659411,8.19689008,166228.85,buy
1499659411,6.215776014,166235.62,buy
1499663826,0.1547,174019.0,buy
1499663826,4.0,175000.0,buy
1499663826,1.428218111,180000.0,buy
1499666612,1.0,164582.37,buy
1499666707,0.18,164582.37,buy
1499673025,8.96,163100.0,sell
1499673025,0.013,162362.0,sell
1499673025,0.054,161800.0,sell
1499673025,1.0,160000.0,sell
1499673025,3.58957084,159387.12,sell
1499673025,3.72747306,159001.34,sell
1499673025,1.01,158000.0,sell
1499673025,9.12482144,157746.03,sell
1499673025,1.81503466,157744.16,sell
1499675192,1.85667605,161969.85,buy
1499675192,3.55534733,162212.8,buy
1499675245,1.85923986,161970.65,buy
1499678471,3.84379519,160653.23,buy
1499678471,8.62926588,160891.96,buy
1499678471,1.129852046,160999.85,buy
1499686978,2.17720991,160277.04,buy
1499686978,2.07279009,160852.74,buy
1499687231,0.42,159829.23,buy
1499687252,1.6632,159829.23,buy
1499688259,8.8275,156980.86,buy
1499689015,3.0,157244.24,buy
1499689045,0.7152,157244.24,buy
1499689079,6.86e-06,157244.24,buy
1499689079,2.29409314,157498.09,buy
1499689236,0.5,156603.23,buy
1499690080,1.01,155000.0,sell
1499691147,2.11963677,152941.61,buy
1499691147,0.89986323,153171.02,buy
1499691367,2.01470981,152302.4,buy
1499691367,1.00479019,153120.75,buy
1499691409,3.0195,153120.75,buy
1499691979,1.9,152129.0,buy
1499692011,0.06347257,152129.0,buy
1499692011,3.83227304,152357.19,buy
1499692011,2.14155439,152807.72,buy
1499692108,0.0472,152807.72,buy
1499692301,2.11154858,154222.51,buy
1499692301,3.7303226,154453.84,buy
1499692301,0.19542882,154762.18,buy
1499692551,3.0195,154762.18,buy
1499692616,1.51007,154762.18,buy
1499692848,0.0871,153011.64,buy
1499693451,1.0,168990.0,buy
1499693451,0.4975,169000.0,buy
1499693451,3.5025,180000.0,buy
1499693993,2.01816522,151051.33,buy
1499693993,0.98083478,151277.9,buy
1499694055,1.0,151277.9,buy
1499694064,1.0,150000.0,sell
1499694078,0.01,150000.0,sell
1499694078,0.99,147500.0,sell
1499694161,0.15,150100.0,sell
1499694318,1.5101,150469.12,buy
1499694457,0.1,147501.0,sell
1499694457,0.9,147500.0,sell
1499694520,2.16413552,149141.59,buy
1499694520,0.85806448,149365.3,buy
1499694611,3.0222,149365.3,buy
1499694688,0.46449054,149365.3,buy
1499694688,1.02695946,149680.0,buy
1499694732,4.0,149991.13,buy
1499694958,3.5257,149991.13,buy
1499695017,1.19941204,149991.13,buy
1499695017,2.32628796,150219.74,buy
1499695389,2.0141,148851.98,buy
1499695529,0.01740081,148851.98,buy
1499695529,3.50827919,149075.25,buy
1499696030,0.700824966,150997.76,buy
1499697215,0.333649433,149857.89,buy
1499697527,2.6,150082.67,buy
1499699176,1.008064516,149180.04,buy
1499699604,0.670337667,149180.04,buy
1499699607,7.591964407,149180.04,buy
1499699608,3.485578392,149326.29,buy
1499699609,0.675403225,149326.29,buy
1499699626,2.746e-06,149326.29,buy
1499699638,0.001077372,149326.29,buy
1499699894,0.544354838,150369.85,buy
1499701210,1.10032258,148432.72,buy
1499704386,1.98224062,152017.04,buy
1499704386,3.89453626,152245.06,buy
1499704386,4.20386828,152632.88,buy
1499706183,0.334928037,149285.8,buy
1499706657,1.9006,147610.0,sell
1499706700,2.016129032,149239.02,buy
1499707677,9.41013685,150396.39,buy
1499707677,3.88986315,150693.58,buy
1499707937,1.028225806,150693.58,buy
1499708041,2.6,150693.58,buy
1499708901,1.332208683,150126.63,buy
1499708958,0.1,150126.63,buy
1499710021,3.0245,149974.33,buy
1499710023,0.133356155,149974.33,buy
1499711121,0.674,148426.33,buy
1499716062,7.653575025,148973.92,buy
1499716615,0.134208597,149021.75,buy
1499717344,0.1805,147610.0,sell
1499717533,2.013128956,149021.75,buy
1499723569,0.33692064,148402.9,buy
1499727275,0.1563,147610.0,sell
1499727779,0.134768256,148402.9,buy
1499728031,0.4798,147610.0,sell
1499729347,2.3638,147610.0,sell
1499729347,3.0589,146180.0,sell
1499729584,0.9411,146180.0,sell
1499729584,5.0328,146000.0,sell
1499729584,4.0,145300.0,sell
1499729584,0.5,145000.0,sell
1499729584,1.0,145000.0,sell
1499729584,2.0689,145000.0,sell
1499729626,6e-05,145000.0,sell
1499729626,5.32304,141010.0,sell
1499729852,0.025176233,141781.07,buy
1499729886,0.58696,141010.0,sell
1499730223,0.5,140000.0,sell
1499731355,0.566,141532.51,buy
1499732066,1.01,143733.79,buy
1499732073,3.0222,143733.79,buy
1499732098,0.50661374,143931.87,buy
1499732794,2.34685599,145939.87,buy
1499732794,0.67534401,146158.77,buy
1499732941,1.41088,145430.64,buy
1499732993,0.80553167,145430.64,buy
1499733059,3.0222,146439.53,buy
1499733077,3.0222,146439.53,buy
1499738399,10.286,142948.07,buy
1499738820,2.0,141484.76,buy
1499738945,1.11,140000.0,sell
1499738945,2.733,140000.0,sell
1499739919,2.4,141142.07,buy
1499740016,2.0,140456.67,buy
1499740506,2.32632858,139771.27,buy
1499740506,0.69279142,140667.35,buy
1499740706,2.0,138399.08,buy
1499740708,0.22257161,138399.08,buy
1499740708,2.79654839,138606.67,buy
1499740752,1.35366341,138606.67,buy
1499740752,0.13627659,138998.31,buy
1499740909,2.0,137030.0,sell
1499741057,0.47107428,137029.68,buy
1499741075,2.39521791,137030.0,sell
1499741242,0.78253781,137030.0,sell
1499741514,2.1,132000.0,sell
1499741514,0.55,131948.17,sell
1499741668,0.03,135658.88,buy
1499741940,3.917119838,136461.32,buy
1499741958,6.480970062,136461.32,buy
1499741958,4.519029938,137235.22,buy
1499742042,0.171447502,137235.22,buy
1499742042,5.728552498,137617.23,buy
1499743357,2.41109475,136961.14,buy
1499743357,0.098985895,137715.07,buy
1499744507,2.49,132329.49,sell
1499745613,2.45051839,133538.4,buy
1499745613,1.29179261,133738.7,buy
1499746375,0.77,132818.83,buy
1499746859,0.080261832,132818.83,buy
1499747526,0.360467344,138708.82,buy
1499748098,0.256294058,133602.68,buy
1499748101,0.1176,132300.0,sell
1499758028,1.0,132001.0,sell
1499758082,0.379,132001.0,sell
1499760031,4.41158294,132922.58,buy
1499760031,9.284590272,133122.11,buy
1499781527,0.934,140201.0,sell
1499781527,7.13,140200.0,sell
1499781527,2.34439473,134646.56,sell
1499781527,4.11506362,134096.05,sell
1499783411,0.5052,159990.0,buy
1499783411,0.744878117,159990.0,buy
1499783460,0.255121883,159990.0,buy
1499783460,0.4056,160000.0,buy
1499783460,0.582018827,162000.0,buy
1499783501,1.234567901,162000.0,buy
1499784458,0.632911392,158000.0,buy
1499786838,1.0,150950.0,buy
1499786838,0.4,150950.0,buy
1499786838,1.6,150980.0,buy
1499788127,0.202702703,148000.0,buy
1499789184,0.039,148000.0,buy
1499790430,0.675675676,148000.0,buy
1499797853,0.4,140000.0,sell
1499797964,0.44078,140000.0,sell
1499800143,0.21,140000.0,sell
1499800665,0.201,133122.11,sell
1499801714,10.0,133354.03,buy
1499803345,8.0,133477.01,buy
1499805452,0.262295082,152500.0,buy
1499808165,0.302419354,149000.0,buy
1499808969,0.2377,148960.0,buy
1499808969,0.5,148960.0,buy
1499808969,17.0,148980.0,buy
1499808969,2.393348387,149000.0,buy
1499809392,0.167785235,149000.0,buy
1499810257,0.134228188,149000.0,buy
1499811573,0.5,148990.0,buy
1499811573,0.5,148990.0,buy
1499811573,0.675,149000.0,buy
1499819968,0.2255,133000.0,sell
1499820225,0.196,132800.0,sell
1499820225,0.07547,132500.0,sell
1499820225,0.72893,132500.0,sell
1499821039,0.34107,132500.0,sell
1499821039,0.64493,132001.0,sell
1499821092,3.87607,132001.0,sell
1499821092,0.35,132000.0,sell
1499821092,0.5,132000.0,sell
1499821092,0.62883,130000.0,sell
1499821228,1.0,130000.0,sell
1499822253,0.26,145990.0,buy
1499827098,0.38427,130000.0,sell
1499827098,4.61573,130000.0,sell
1499827719,0.0514,130000.0,sell
1499831519,3.70596,135000.0,sell
1499832867,0.9955,130000.0,sell
1499840256,0.14276,140100.0,buy
1499850281,1.4932,137909.57,sell
1499855102,0.09,133587.62,sell
1499856946,0.4326,144950.0,buy
1499856946,1.0,147980.0,buy
1499856946,3.0,152400.0,buy
1499856946,1.0651,153000.0,buy
1499856946,3.0099,155000.0,buy
1499856946,2.4657,157980.0,buy
1499856946,0.65056,165000.0,buy
1499864053,0.606060606,165000.0,buy
1499866531,0.4465,139500.0,sell
1499866531,0.1501,139500.0,sell
1499868819,0.196180645,155000.0,buy
1499871025,0.23334889,149990.0,buy
1499871204,0.73495111,149990.0,buy
1499871204,12.192030194,155000.0,buy
1499871447,0.64516129,155000.0,buy
1499873824,0.32,155000.0,buy
1499873852,0.193548387,155000.0,buy
1499875845,0.16,155000.0,buy
1499875846,0.055561,157900.0,buy
1499876315,0.98225602,157800.0,buy
1499876582,0.316866821,157795.0,buy
1499877972,0.190264785,157675.0,buy
1499878496,0.031715826,157650.0,buy
1499879199,0.382784174,157650.0,buy
1499879199,0.251532318,157650.0,buy
1499879507,0.248467682,157650.0,buy
1499879507,0.1495,157650.0,buy
1499879507,1.6666,157660.0,buy
1499879507,1.11774398,157800.0,buy
1499879507,0.4436,158500.0,buy
1499879507,5.0,159800.0,buy
1499879507,1.430087528,160000.0,buy
1499880032,0.569912472,160000.0,buy
1499880032,0.430087528,160000.0,buy
1499886563,0.1784,159999.0,buy
1499886563,0.2448,162900.0,buy
1499887352,0.2552,162900.0,buy
1499887352,0.1949,162950.0,buy
1499887352,0.286312638,163000.0,buy
1499887803,0.713687362,163000.0,buy
1499887803,10.88,163500.0,buy
1499887803,6.551473927,163501.0,buy
1499887998,0.5,163990.0,sell
1499889717,0.0749,163600.0,buy
1499889717,0.169298676,163890.0,buy
1499891634,0.012,163000.0,buy
1499891634,0.875,163890.0,buy
1499894070,5.039475,156601.0,sell
1499894387,1.063525,156601.0,sell
1499894387,1.9496342,156600.0,sell
1499894989,1.04,156600.0,sell
1499894989,0.8951,156600.0,sell
1499895049,0.2138,156600.0,sell
1499895106,1.9414658,156600.0,sell
1499895106,0.0585342,156500.0,sell
1499896907,0.9414658,156500.0,sell
1499896954,0.07854,155000.0,sell
1499897062,0.12345679,162000.0,buy
1499899197,0.0161,150500.0,sell
1499899945,0.141129032,157980.0,buy
1499901487,0.448,150500.0,sell
1499901487,0.21068,150002.0,sell
1499901487,2.0,150001.0,sell
1499901579,0.5,150000.0,buy
1499901589,0.26632,150000.0,buy
1499901605,8e-05,150000.0,sell
1499901605,0.4635,149000.0,sell
1499909803,0.2095,157889.0,buy
1499909803,0.46,157900.0,buy
1499909803,0.273384259,162000.0,buy
1499913438,0.14,148200.0,sell
1499915867,0.207682243,160500.0,buy
1499917837,1.209677419,160500.0,buy
1499918945,3.572640338,160500.0,buy
1499918945,1.427359662,162000.0,buy
1499920522,0.330180066,152500.0,sell
1499938554,0.134173387,162000.0,buy
1499939104,0.104682692,162000.0,buy
1499939104,0.0781,164500.0,buy
1499939104,0.34974,165000.0,buy
1499939104,5.0,168000.0,buy
1499939104,0.425138597,168000.0,buy
1499950943,0.4,152600.0,sell
1499950943,0.08367,152550.0,sell
1499950943,1.381610034,152500.0,sell
1499950943,0.22,151020.0,sell
1499950943,0.397319966,150000.0,sell
1499956496,0.04595,161990.0,buy
1499957511,0.6101,161990.0,buy
1499957511,0.59315,161990.0,buy
1499957511,0.5,161990.0,buy
1499957511,1.5,161999.0,buy
1499957511,0.5,164400.0,buy
1499957511,0.2188,164400.0,buy
1499957511,0.110208064,164500.0,buy
1499957754,0.988,150000.0,sell
1499960327,0.3365,150000.0,sell
1499960553,4.695,150000.0,sell
1499961605,0.905,150000.0,sell
1499961605,0.6115,150000.0,sell
1499961719,0.241,148420.0,sell
1499961719,0.48,148300.0,sell
1499961719,0.49,148100.0,sell
1499961719,0.41,147600.0,sell
1499967987,0.123,146000.0,sell
1499967987,0.6,145002.0,sell
1499967987,0.575,145002.0,sell
1499967987,0.0138,145000.0,sell
1499967987,1.3358,140000.0,sell
1499967987,2.3899,130000.0,sell
1499967987,1.3359,130000.0,sell
1499968694,1.5,154990.0,buy
1499968694,4.951,155000.0,buy
1499974530,0.047286667,150000.0,buy
1499975425,0.41,141400.0,sell
1499975425,0.197,141345.0,sell
1499975425,4.283,135000.0,sell
1499975788,0.103583893,149000.0,buy
1499977061,0.1,141370.0,sell
1499977377,0.237616107,149000.0,buy
1499977377,0.297383893,150000.0,buy
1499978403,0.133513694,149700.0,buy
1499982210,1.008064516,149490.0,buy
1499984311,0.434811693,149490.0,buy
1499984806,0.133868809,149400.0,buy
1499985498,0.193,138000.0,sell
1499985978,2.647,149400.0,buy
1499994863,0.126666667,150000.0,buy
1500003110,0.342465753,146000.0,buy
1500003804,3.612834247,146000.0,buy
1500003804,0.923456074,150500.0,buy
1500005893,0.3374,139001.0,sell
1500036557,0.015294525,144300.0,buy
1500040760,0.99,139001.0,sell
1500040998,0.01,139001.0,sell
1500040998,0.04316,139001.0,sell
1500041726,2.097895105,143000.0,buy
1500045179,4.933,140000.0,buy
1500046234,3.0,140000.0,buy
1500046281,0.349674802,142990.0,buy
1500049096,0.349699259,142980.0,buy
1500050734,1.105,140000.0,sell
1500051276,0.5,140000.0,sell
1500051310,3.495,140000.0,sell
1500051472,2.36904886,140000.0,sell
1500051698,0.13455114,140000.0,sell
1500051857,0.9863,137101.0,sell
1500051971,0.1497,137101.0,sell
1500052419,0.44,136200.0,sell
1500052436,0.293685756,136750.64,buy
1500052516,0.5535,135001.0,sell
1500052538,2.045488934,136750.64,buy
1500052538,4.26694805,136955.76,buy
1500052538,3.747925188,137280.47,buy
1500052557,5.924727072,137280.47,buy
1500052557,4.1356351,137540.91,buy
1500052576,0.4465,135001.0,sell
1500052578,2.17266419,131250.31,buy
1500052578,4.50311176,131447.18,buy
1500052578,3.384586222,139900.0,buy
1500052586,2.835448136,131811.86,buy
1500052597,5.030181086,131811.86,buy
1500052630,1.006036217,131811.86,buy
1500052654,1.239637251,131811.86,buy
1500052654,1.640362749,132020.25,buy
1500055534,0.704225352,139700.0,buy
1500056505,3.805,139699.0,buy
1500056505,4.295774648,139700.0,buy
1500056505,1.0,139800.0,buy
1500056505,0.635225352,139900.0,buy
1500056739,8.8426e-05,139900.0,buy
1500057125,0.3,141500.0,buy
1500057125,0.1805,141545.0,buy
1500057125,0.221461107,144500.0,buy
1500057782,5.813551111,144490.0,buy
1500057921,5.186448889,144490.0,buy
1500057921,4.513551111,145000.0,buy
1500057989,0.137931034,145000.0,buy
1500058362,0.9,145000.0,buy
1500059216,0.012117855,145000.0,buy
1500059223,0.152882145,145000.0,sell
1500062754,0.766129032,149950.0,buy
1500062830,0.233870968,149950.0,buy
1500062830,0.433018006,149950.0,buy
1500066525,0.5468451,139900.0,sell
1500067834,0.47037427,139900.0,sell
1500067844,5.17115989,139900.0,sell
1500068741,0.13255935,139900.0,sell
1500068751,0.21199941,139900.0,sell
1500069196,3.935473554,139900.0,sell
1500069196,0.343026446,138000.0,sell
1500070416,0.6639,138000.0,sell
1500070597,7.3554e-05,138000.0,sell
1500070597,3.217026446,132000.0,sell
1500074205,0.611153552,143990.0,buy
1500080293,0.026957842,144930.0,buy
1500083455,2.248,132730.05,buy
1500084779,3.75,132925.84,buy
1500084811,0.100806451,132929.14,buy
1500086293,1.50456,132929.14,buy
1500088456,1.14,132929.14,buy
1500088710,0.45,132001.0,sell
1500088710,0.5691,132000.0,sell
1500089605,4.6154423,132923.12,buy
1500089605,2.131788314,133305.79,buy
1500089994,0.043931451,132920.53,buy
1500091686,1.4309,132000.0,sell
1500091902,0.25,130000.0,sell
1500091902,2.9958,130000.0,sell
1500092137,1.5,130716.01,buy
1500092164,0.51,130716.01,buy
1500092219,0.100806451,130716.01,buy
1500092267,0.281734759,130716.01,buy
1500092357,0.483,130912.08,buy
1500092814,1.815,130912.08,buy
1500093183,2.63060121,130912.08,buy
1500093183,0.36939879,130912.91,buy
1500093247,3.86911821,130912.91,buy
1500094527,0.46,130914.89,buy
1500094547,0.1,130000.0,sell
1500095216,3.0,130000.0,sell
1500096065,10.06512714,131238.14,buy
1500096065,9.93487286,131459.61,buy
1500098742,1.8,130000.0,sell
1500099284,0.8338,130000.0,sell
1500099284,0.2662,130000.0,sell
1500100111,3.5,131159.52,buy
1500100156,3.5,130000.0,sell
1500100246,0.0188,130000.0,sell
1500100246,0.02,130000.0,sell
1500100246,2.0,129000.0,sell
1500100592,0.02,127345.0,sell
1500102566,2.0,127000.0,sell
1500103720,0.050403225,126077.49,buy
1500104553,2.0781,126325.86,buy
1500104649,3.956,126325.86,buy
1500105195,4.64,126325.86,buy
1500105307,0.02790293,126325.86,buy
1500105307,1.95109707,126616.83,buy
1500105520,3.776,126616.83,buy
1500119793,0.48,126283.7,buy
1500120998,4.0,126283.7,buy
1500127809,0.8,125000.0,sell
1500127809,0.655,125000.0,sell
1500137446,3.021148036,137000.0,buy
1500137511,0.400451964,137000.0,buy
1500137511,0.2397,137990.0,buy
1500137511,10.437390834,143500.0,buy
1500141611,1.429592566,139900.0,buy
1500141709,0.197123803,139900.0,buy
1500151853,2.144153225,139900.0,buy
1500157867,3.383709677,136000.0,buy
1500162345,0.48,126100.0,sell
1500162345,4.4022,126002.0,sell
1500162745,0.010080645,126673.03,buy
1500163409,15.79120963,126002.0,sell
1500163409,1.2,126001.0,sell
1500163409,0.261,126001.0,sell
1500163409,5.0,126000.0,sell
1500163409,0.019,126000.0,sell
1500163409,15.345,125000.0,sell
1500163409,4.39716999,125000.0,sell
1500163590,0.63563001,125000.0,sell
1500163590,0.4,120000.0,sell
1500163591,0.02,117000.0,sell
1500163751,1.62090468,114141.92,buy
1500163751,4.87509606,114313.13,buy
1500163751,12.96309988,114632.05,buy
1500163751,6.68089938,114954.43,buy
1500164045,0.2595,135999.0,buy
1500164045,3.1961,136000.0,buy
1500164045,0.8224975,136000.0,buy
1500171609,0.023162134,129000.0,buy
1500172582,0.14,129000.0,buy
1500173153,0.5,121000.0,sell
1500173153,2.0804,120000.0,sell
1500183710,0.495,120000.0,sell
1500198593,2.21522,120000.0,sell
1500198604,3.30927306,115000.0,sell
1500199595,0.69985213,115000.0,sell
1500199604,0.99087481,115000.0,sell
1500199604,0.53,115000.0,sell
1500201444,0.233532,112728.0,sell
1500201454,0.896468,112728.0,sell
1500202620,0.547,109700.0,sell
1500202620,1.2825,109000.0,sell
1500202620,0.026,107090.0,sell
1500202620,0.023,105283.0,sell
1500203074,0.0271,102300.0,sell
1500204067,1.1773,100925.15,buy
1500205282,1.3,100869.98,buy
1500205492,0.01,100869.98,buy
1500206576,0.32,100867.67,buy
1500208901,1.6,100524.23,buy
1500209271,1.006036217,100675.01,buy
1500209278,1.006036217,100675.01,buy
1500209288,4.024144869,100675.01,buy
1500209348,0.392625327,100675.01,buy
1500209348,11.679809279,100972.54,buy
1500209593,1.006036217,100524.81,buy
1500209612,0.497389649,100524.81,buy
1500214868,0.885739593,112900.0,buy
1500224020,0.265721878,112900.0,buy
1500225090,0.016338529,112900.0,buy
1500233479,0.023,116300.0,buy
1500233479,0.0271,122700.0,buy
1500233524,0.403225806,124000.0,buy
1500233600,0.5244,115200.0,sell
1500233637,1.999,114000.0,sell
1500234086,2.001,114000.0,sell
1500234086,2.999,113800.0,sell
1500234364,0.0254,128345.0,buy
1500234615,0.3953,113800.0,sell
1500234913,0.6057,113800.0,sell
1500235672,0.8523,101000.0,sell
1500236134,0.597,100600.0,sell
1500236134,2.7506,100524.81,sell
1500239347,1.0,119000.0,buy
1500239387,5.0,119000.0,buy
1500242759,0.169491525,118000.0,buy
1500243059,0.423728814,118000.0,buy
1500244834,0.254245907,117996.0,buy
1500246396,0.173913043,115000.0,buy
1500247113,1.0,115000.0,buy
1500248202,0.006886957,115000.0,buy
1500248735,1.0374,117994.0,buy
1500251672,8.7083,124999.0,buy
1500251672,1.372345161,125000.0,buy
1500254987,0.1487,110000.0,sell
1500258113,0.86339,120000.0,buy
1500258897,0.166666667,120000.0,buy
1500264923,0.208681135,119800.0,buy
1500269616,0.2372,110002.0,sell
1500277236,0.651085142,119800.0,buy
1500278778,0.7056,115000.0,sell
1500285399,0.140233723,119800.0,buy
1500285399,1.3703,119990.0,buy
1500285399,0.489466277,125000.0,buy
1500292668,1.0,115500.0,sell
1500292668,2.0,115000.0,sell
1500295119,0.5471,115000.0,sell
1500295119,1.0,115000.0,sell
1500298894,0.081366965,122900.0,buy
1500299749,2.371533035,122900.0,buy
1500299749,2.628466965,123000.0,buy
1500299758,0.14,115000.0,sell
1500299758,1.36,107959.68,sell
1500301767,0.04032258,122500.0,buy
1500305087,0.0988,120000.0,buy
1500307088,0.480384307,124900.0,buy
1500307507,0.320256205,124900.0,buy
1500307575,0.120096077,124900.0,buy
1500307739,0.079263411,124900.0,buy
1500307739,0.6168,124900.0,buy
1500308734,4.7595,125000.0,buy
1500309650,0.134,125001.0,sell
1500309650,5.73769,125000.0,sell
1500309916,10.0,124000.0,sell
1500309916,2.0141,123000.0,sell
1500312458,7.9859,123000.0,sell
